"Kod";"Nazwa";"biathlon zimowy;ogółem;2020;[osoba]";"biathlon zimowy;juniorzy;2020;[osoba]";"łyżwiarstwo figurowe;ogółem;2020;[osoba]";"łyżwiarstwo figurowe;juniorzy;2020;[osoba]";"łyżwiarstwo szybkie (łącznie z short track);ogółem;2020;[osoba]";"łyżwiarstwo szybkie (łącznie z short track);juniorzy;2020;[osoba]";"narciarstwo alpejskie;ogółem;2020;[osoba]";"narciarstwo alpejskie;juniorzy;2020;[osoba]";"narciarstwo klasyczne;ogółem;2020;[osoba]";"narciarstwo klasyczne;juniorzy;2020;[osoba]";"snowboard;ogółem;2020;[osoba]";"snowboard;juniorzy;2020;[osoba]";"sport saneczkowy;ogółem;2020;[osoba]";"sport saneczkowy;juniorzy;2020;[osoba]";
0000000;"POLSKA";865;727;2176;1972;1954;1696;4270;3252;3242;2647;567;335;293;197;
0200000;"DOLNOŚLĄSKIE";352;338;72;56;174;164;350;314;250;220;82;62;51;34;
0400000;"KUJAWSKO-POMORSKIE";0;0;254;216;0;0;0;0;15;0;12;0;0;0;
0600000;"LUBELSKIE";0;0;0;0;0;0;173;162;231;194;0;0;0;0;
0800000;"LUBUSKIE";0;0;0;0;140;100;0;0;0;0;0;0;93;60;
1000000;"ŁÓDZKIE";0;0;369;351;441;396;42;42;27;11;0;0;0;0;
1200000;"MAŁOPOLSKIE";178;163;252;244;152;140;1231;1077;1218;1099;192;117;23;22;
1400000;"MAZOWIECKIE";108;108;532;461;376;306;353;202;255;234;67;44;54;54;
1600000;"OPOLSKIE";0;0;36;36;20;12;7;0;27;10;5;0;0;0;
1800000;"PODKARPACKIE";41;24;22;22;163;156;566;489;373;268;4;4;0;0;
2000000;"PODLASKIE";0;0;0;0;238;230;3;1;88;75;0;0;0;0;
2200000;"POMORSKIE";0;0;207;176;27;17;0;0;11;9;0;0;31;4;
2400000;"ŚLĄSKIE";186;94;291;269;9;2;1444;896;719;499;175;98;40;23;
2600000;"ŚWIĘTOKRZYSKIE";0;0;0;0;0;0;73;63;13;13;0;0;0;0;
2800000;"WARMIŃSKO-MAZURSKIE";0;0;126;126;214;173;0;0;0;0;0;0;1;0;
3000000;"WIELKOPOLSKIE";0;0;15;15;0;0;24;6;15;15;30;10;0;0;
3200000;"ZACHODNIOPOMORSKIE";0;0;0;0;0;0;4;0;0;0;0;0;0;0;
