"Kod";"Nazwa";"kajakarstwo górskie;ogółem;2020;[osoba]";"kajakarstwo górskie;juniorzy;2020;[osoba]";"kajakarstwo klasyczne;ogółem;2020;[osoba]";"kajakarstwo klasyczne;juniorzy;2020;[osoba]";"narciarstwo wodne;ogółem;2020;[osoba]";"narciarstwo wodne;juniorzy;2020;[osoba]";"pływanie;ogółem;2020;[osoba]";"pływanie;juniorzy;2020;[osoba]";"skoki do wody;ogółem;2020;[osoba]";"skoki do wody;juniorzy;2020;[osoba]";"wędkarstwo;ogółem;2020;[osoba]";"wędkarstwo;juniorzy;2020;[osoba]";"wioślarstwo;ogółem;2020;[osoba]";"wioślarstwo;juniorzy;2020;[osoba]";"żeglarstwo (łodzie regatowe);ogółem;2020;[osoba]";"żeglarstwo (łodzie regatowe);juniorzy;2020;[osoba]";"żeglarstwo deskowe (letnie);ogółem;2020;[osoba]";"żeglarstwo deskowe (letnie);juniorzy;2020;[osoba]";
0000000;"POLSKA";582;341;3346;2463;158;98;48407;45002;512;340;1125;96;2330;1677;6935;4227;609;441;
0200000;"DOLNOŚLĄSKIE";39;4;56;30;20;10;4508;4122;0;0;15;0;107;86;247;171;0;0;
0400000;"KUJAWSKO-POMORSKIE";1;0;465;434;8;7;3179;3054;0;0;4;4;661;504;414;212;63;17;
0600000;"LUBELSKIE";0;0;71;55;5;0;1915;1804;120;120;0;0;0;0;53;40;0;0;
0800000;"LUBUSKIE";0;0;250;218;0;0;552;517;0;0;0;0;52;39;85;57;0;0;
1000000;"ŁÓDZKIE";98;92;84;71;0;0;2521;2217;0;0;24;0;0;0;30;30;0;0;
1200000;"MAŁOPOLSKIE";332;171;225;165;0;0;3797;3475;0;0;12;0;184;107;412;352;0;0;
1400000;"MAZOWIECKIE";69;54;143;105;3;3;8389;8017;110;92;52;0;325;174;649;430;33;32;
1600000;"OPOLSKIE";0;0;59;23;0;0;669;522;0;0;213;20;0;0;103;69;0;0;
1800000;"PODKARPACKIE";0;0;65;45;0;0;2687;2567;42;41;16;0;0;0;116;49;0;0;
2000000;"PODLASKIE";30;20;94;56;65;44;1064;974;0;0;31;0;0;0;357;155;0;0;
2200000;"POMORSKIE";0;0;341;237;0;0;1930;1833;0;0;85;3;261;172;1350;844;208;191;
2400000;"ŚLĄSKIE";13;0;528;300;40;29;7688;7314;64;51;239;37;36;24;994;630;0;0;
2600000;"ŚWIĘTOKRZYSKIE";0;0;60;20;7;5;840;840;0;0;14;0;0;0;27;15;0;0;
2800000;"WARMIŃSKO-MAZURSKIE";0;0;136;89;0;0;1587;1266;0;0;0;0;151;145;342;306;0;0;
3000000;"WIELKOPOLSKIE";0;0;565;420;10;0;4897;4337;176;36;420;32;407;353;952;507;107;86;
3200000;"ZACHODNIOPOMORSKIE";0;0;204;195;0;0;2184;2143;0;0;0;0;146;73;804;360;198;115;
