"Kod";"Nazwa";"boks;ogółem;2020;[osoba]";"boks;juniorzy;2020;[osoba]";"judo;ogółem;2020;[osoba]";"judo;juniorzy;2020;[osoba]";"karate;ogółem;2020;[osoba]";"karate;juniorzy;2020;[osoba]";"karate tradycyjne;ogółem;2020;[osoba]";"karate tradycyjne;juniorzy;2020;[osoba]";"kick-boxing;ogółem;2020;[osoba]";"kick-boxing;juniorzy;2020;[osoba]";"szermierka;ogółem;2020;[osoba]";"szermierka;juniorzy;2020;[osoba]";"taekwon-do ITF (bez innych odmian taekwon-do);ogółem;2020;[osoba]";"taekwon-do ITF (bez innych odmian taekwon-do);juniorzy;2020;[osoba]";"taekwon-do WTF;ogółem;2020;[osoba]";"taekwon-do WTF;juniorzy;2020;[osoba]";"zapasy w stylu klasycznym;ogółem;2020;[osoba]";"zapasy w stylu klasycznym;juniorzy;2020;[osoba]";"zapasy w stylu wolnym;ogółem;2020;[osoba]";"zapasy w stylu wolnym;juniorzy;2020;[osoba]";"jujitsu;ogółem;2020;[osoba]";"jujitsu;juniorzy;2020;[osoba]";"kendo;ogółem;2020;[osoba]";"kendo;juniorzy;2020;[osoba]";"muaythai;ogółem;2020;[osoba]";"muaythai;juniorzy;2020;[osoba]";"sumo;ogółem;2020;[osoba]";"sumo;juniorzy;2020;[osoba]";"wu-shu;ogółem;2020;[osoba]";"wu-shu;juniorzy;2020;[osoba]";
0000000;"POLSKA";9327;5766;26362;24739;34118;26955;12048;9831;9540;6202;3926;3388;10407;8735;4249;3781;2969;2473;4187;3480;7011;4110;500;137;1158;477;1696;1557;856;502;
0200000;"DOLNOŚLĄSKIE";725;436;1552;1445;2438;1664;776;707;537;293;286;244;2308;1932;252;230;209;194;430;375;388;147;53;3;10;0;164;150;0;0;
0400000;"KUJAWSKO-POMORSKIE";683;549;768;690;1686;1365;998;835;785;483;306;293;20;10;427;413;17;17;224;208;247;153;0;0;0;0;20;20;17;17;
0600000;"LUBELSKIE";399;274;307;297;1319;1067;735;701;402;316;0;0;1127;981;453;431;288;254;425;262;609;420;0;0;20;0;44;29;30;24;
0800000;"LUBUSKIE";290;153;456;451;627;514;126;105;602;374;78;71;18;17;0;0;249;228;10;10;408;199;0;0;42;16;84;78;0;0;
1000000;"ŁÓDZKIE";636;337;1018;970;1658;1336;1739;1483;471;249;77;70;489;443;120;104;303;244;301;215;119;67;49;26;56;47;201;175;0;0;
1200000;"MAŁOPOLSKIE";692;372;1901;1760;3026;2322;1177;874;626;478;221;173;1252;1097;276;242;66;66;40;20;569;459;25;4;118;69;44;44;497;323;
1400000;"MAZOWIECKIE";1035;538;8150;7811;5012;4133;1425;1241;1493;1096;564;468;1223;1022;612;594;496;463;678;613;577;211;94;55;429;142;229;211;125;64;
1600000;"OPOLSKIE";10;5;865;828;1368;1096;504;411;40;25;44;42;195;161;0;0;49;39;251;244;130;74;0;0;50;25;14;14;0;0;
1800000;"PODKARPACKIE";192;149;687;634;2134;1686;910;802;402;242;60;60;60;46;0;0;46;31;54;32;329;211;0;0;0;0;55;38;0;0;
2000000;"PODLASKIE";506;272;996;835;1039;845;175;85;359;161;77;71;281;270;290;247;144;111;239;166;139;49;131;14;121;67;63;58;0;0;
2200000;"POMORSKIE";453;355;1569;1534;1302;1107;1268;943;406;268;110;88;334;270;38;32;342;189;84;82;260;6;38;6;0;0;46;43;5;0;
2400000;"ŚLĄSKIE";1602;834;4978;4629;4232;3196;498;341;1219;696;1001;853;1698;1472;77;77;115;100;223;198;1860;1328;50;13;157;29;0;0;132;50;
2600000;"ŚWIĘTOKRZYSKIE";296;202;153;129;1083;871;370;200;46;22;0;0;50;25;21;21;135;135;85;57;0;0;0;0;0;0;120;120;15;10;
2800000;"WARMIŃSKO-MAZURSKIE";214;131;480;435;1201;959;97;92;515;361;93;91;322;245;416;376;133;131;48;48;205;132;7;1;15;0;24;24;35;14;
3000000;"WIELKOPOLSKIE";922;680;1987;1841;3760;2960;704;538;1013;719;888;760;619;449;1159;950;312;215;402;320;731;366;45;14;112;72;275;260;0;0;
3200000;"ZACHODNIOPOMORSKIE";672;479;495;450;2233;1834;546;473;624;419;121;104;411;295;108;64;65;56;693;630;440;288;8;1;28;10;313;293;0;0;
