"Kod";"Nazwa";"baseball;ogółem;2020;[osoba]";"baseball;juniorzy;2020;[osoba]";"hokej na lodzie (łącznie z hokejem na łyżworolkach);ogółem;2020;[osoba]";"hokej na lodzie (łącznie z hokejem na łyżworolkach);juniorzy;2020;[osoba]";"hokej na trawie;ogółem;2020;[osoba]";"hokej na trawie;juniorzy;2020;[osoba]";"koszykówka;ogółem;2020;[osoba]";"koszykówka;juniorzy;2020;[osoba]";"piłka nożna (łącznie z halową i plażową);ogółem;2020;[osoba]";"piłka nożna (łącznie z halową i plażową);juniorzy;2020;[osoba]";"piłka ręczna;ogółem;2020;[osoba]";"piłka ręczna;juniorzy;2020;[osoba]";"piłka siatkowa (łącznie z plażową);ogółem;2020;[osoba]";"piłka siatkowa (łącznie z plażową);juniorzy;2020;[osoba]";"piłka wodna;ogółem;2020;[osoba]";"piłka wodna;juniorzy;2020;[osoba]";"rugby;ogółem;2020;[osoba]";"rugby;juniorzy;2020;[osoba]";"unihokej;ogółem;2020;[osoba]";"unihokej;juniorzy;2020;[osoba]";"football amerykański;ogółem;2020;[osoba]";"football amerykański;juniorzy;2020;[osoba]";
0000000;"POLSKA";737;476;4787;2910;2914;2328;38784;33811;424383;306005;33431;28754;67776;56012;887;777;3026;1895;7326;6647;1029;334;
0200000;"DOLNOŚLĄSKIE";142;75;214;84;200;111;2828;2401;36822;22537;2339;1939;3621;2974;0;0;79;47;79;79;100;30;
0400000;"KUJAWSKO-POMORSKIE";85;85;183;45;673;507;3014;2626;22238;17360;1740;1511;3740;3047;0;0;113;54;460;454;246;98;
0600000;"LUBELSKIE";0;0;126;87;0;0;1511;1426;21800;16182;1754;1638;3908;3232;0;0;343;277;53;27;72;22;
0800000;"LUBUSKIE";31;31;0;0;0;0;1413;1293;9569;5670;902;779;1925;1438;157;150;45;14;215;144;0;0;
1000000;"ŁÓDZKIE";87;65;28;12;225;178;2512;2204;26422;19145;1514;1250;4450;3516;226;186;400;278;346;344;30;0;
1200000;"MAŁOPOLSKIE";19;0;879;539;0;0;3187;2639;52510;38407;2878;2487;7740;6338;0;0;163;128;505;327;56;0;
1400000;"MAZOWIECKIE";30;0;143;81;45;33;6400;5673;44705;37314;4812;4089;9169;7642;159;146;481;326;1229;1163;16;8;
1600000;"OPOLSKIE";29;29;97;93;140;140;952;747;16502;9414;1263;1094;1178;893;0;0;0;0;63;60;41;0;
1800000;"PODKARPACKIE";0;0;18;18;0;0;2177;1916;37664;23164;2054;1801;5512;4511;0;0;20;0;809;742;64;26;
2000000;"PODLASKIE";18;0;65;25;0;0;1616;1482;8887;6970;1070;934;1927;1615;0;0;65;34;217;201;100;36;
2200000;"POMORSKIE";0;0;387;172;0;0;2090;1916;19500;15334;2687;2332;3237;2848;0;0;407;255;1069;1066;0;0;
2400000;"ŚLĄSKIE";184;106;2330;1651;551;474;3665;3235;55057;42330;3224;2629;8238;6632;0;0;295;118;203;107;194;49;
2600000;"ŚWIĘTOKRZYSKIE";0;0;30;5;0;0;257;214;8400;6206;1145;999;1547;1366;45;35;0;0;20;20;0;0;
2800000;"WARMIŃSKO-MAZURSKIE";100;85;65;47;0;0;1062;943;10633;8059;773;659;2101;1916;0;0;182;107;276;256;70;25;
3000000;"WIELKOPOLSKIE";0;0;197;50;1046;851;4446;3598;34759;24753;3427;2919;6204;5191;0;0;348;232;1382;1277;0;0;
3200000;"ZACHODNIOPOMORSKIE";12;0;25;1;34;34;1654;1498;18915;13160;1849;1694;3279;2853;300;260;85;25;400;380;40;40;
