"Kod";"Nazwa";"akrobatyka (łącznie ze skokami na trampolinie);ogółem;2020;[osoba]";"akrobatyka (łącznie ze skokami na trampolinie);juniorzy;2020;[osoba]";"alpinizm;ogółem;2020;[osoba]";"alpinizm;juniorzy;2020;[osoba]";"badminton;ogółem;2020;[osoba]";"badminton;juniorzy;2020;[osoba]";"orientacja sportowa;ogółem;2020;[osoba]";"orientacja sportowa;juniorzy;2020;[osoba]";"brydż sportowy;ogółem;2020;[osoba]";"brydż sportowy;juniorzy;2020;[osoba]";"gimnastyka artystyczna;ogółem;2020;[osoba]";"gimnastyka artystyczna;juniorzy;2020;[osoba]";"gimnastyka sportowa;ogółem;2020;[osoba]";"gimnastyka sportowa;juniorzy;2020;[osoba]";"jeździectwo;ogółem;2020;[osoba]";"jeździectwo;juniorzy;2020;[osoba]";"kolarstwo górskie;ogółem;2020;[osoba]";"kolarstwo górskie;juniorzy;2020;[osoba]";"kolarstwo szosowe;ogółem;2020;[osoba]";"kolarstwo szosowe;juniorzy;2020;[osoba]";"kolarstwo torowe;ogółem;2020;[osoba]";"kolarstwo torowe;juniorzy;2020;[osoba]";"kręglarstwo;ogółem;2020;[osoba]";"kręglarstwo;juniorzy;2020;[osoba]";"kulturystyka i trójbój siłowy (łącznie z fitness);ogółem;2020;[osoba]";"kulturystyka i trójbój siłowy (łącznie z fitness);juniorzy;2020;[osoba]";"lekkoatletyka;ogółem;2020;[osoba]";"lekkoatletyka;juniorzy;2020;[osoba]";"łucznictwo;ogółem;2020;[osoba]";"łucznictwo;juniorzy;2020;[osoba]";"pięciobój nowoczesny;ogółem;2020;[osoba]";"pięciobój nowoczesny;juniorzy;2020;[osoba]";"podnoszenie ciężarów;ogółem;2020;[osoba]";"podnoszenie ciężarów;juniorzy;2020;[osoba]";"sporty lotnicze (łącznie z modelarstwem lotniczym i kosmicznym);ogółem;2020;[osoba]";"sporty lotnicze (łącznie z modelarstwem lotniczym i kosmicznym);juniorzy;2020;[osoba]";"sport motorowy;ogółem;2020;[osoba]";"sport motorowy;juniorzy;2020;[osoba]";"strzelectwo sportowe;ogółem;2020;[osoba]";"strzelectwo sportowe;juniorzy;2020;[osoba]";"szachy;ogółem;2020;[osoba]";"szachy;juniorzy;2020;[osoba]";"taniec sportowy;ogółem;2020;[osoba]";"taniec sportowy;juniorzy;2020;[osoba]";"tenis stołowy;ogółem;2020;[osoba]";"tenis stołowy;juniorzy;2020;[osoba]";"tenis;ogółem;2020;[osoba]";"tenis;juniorzy;2020;[osoba]";"warcaby;ogółem;2020;[osoba]";"warcaby;juniorzy;2020;[osoba]";
0000000;"POLSKA";10063;9650;4931;906;7785;6039;2291;1438;2773;616;5308;5261;4022;3815;7405;3981;2311;1311;4992;3455;1238;1078;789;328;5530;1819;41164;32511;2834;1812;1468;1432;2235;1513;8337;1166;4162;980;71593;3144;17025;12207;10237;8807;23215;15800;21399;14224;1411;664;
0200000;"DOLNOŚLĄSKIE";1125;1102;213;65;381;301;229;142;383;70;90;86;34;34;459;233;358;252;387;243;15;5;0;0;289;153;2523;1950;416;295;0;0;208;92;950;99;231;47;27702;346;2158;1509;439;331;1731;878;2509;1119;78;21;
0400000;"KUJAWSKO-POMORSKIE";444;443;297;9;220;172;36;4;121;2;15;15;60;54;548;291;181;124;564;470;254;223;78;11;117;43;2602;2140;120;79;21;21;213;138;659;81;343;114;1347;175;724;419;1001;909;1354;841;1028;689;80;64;
0600000;"LUBELSKIE";146;125;88;26;368;266;50;45;0;0;10;10;59;59;61;0;0;0;104;55;0;0;13;8;193;76;1623;1273;38;21;150;150;153;125;1675;292;79;18;1420;95;844;674;94;94;1622;1147;637;417;3;3;
0800000;"LUBUSKIE";1048;1046;58;1;252;152;42;26;95;5;60;60;0;0;221;99;85;54;78;68;5;5;0;0;568;50;1087;795;45;35;119;112;17;8;262;0;94;23;1154;560;634;403;602;580;583;313;293;219;0;0;
1000000;"ŁÓDZKIE";239;233;109;69;181;151;265;168;144;61;187;187;138;138;341;154;152;90;220;145;102;83;38;17;467;197;2659;1741;150;88;89;74;250;183;577;159;213;57;2805;65;600;467;1333;1211;1497;1021;1133;943;156;98;
1200000;"MAŁOPOLSKIE";631;610;1673;258;939;716;206;170;62;29;394;393;878;858;1128;853;188;135;234;61;0;0;27;14;489;171;2320;1582;227;187;12;12;52;23;776;104;310;97;1425;132;1519;1323;844;643;2085;1499;2581;1755;0;0;
1400000;"MAZOWIECKIE";2861;2790;85;44;769;531;480;201;309;233;2309;2280;1012;920;768;382;140;55;384;175;83;56;15;0;490;251;5490;4556;662;369;379;366;353;293;10;0;1352;217;14016;359;1181;808;2939;2508;2783;2075;4759;3239;173;79;
1600000;"OPOLSKIE";42;42;166;22;312;250;111;108;42;4;86;79;242;236;334;210;72;69;174;102;10;10;16;0;308;33;1184;988;72;50;0;0;44;17;0;0;57;19;1542;34;146;87;380;314;511;287;523;229;23;0;
1800000;"PODKARPACKIE";926;884;68;10;861;665;40;35;15;0;92;92;339;318;590;253;127;65;221;143;0;0;31;16;247;131;2167;1679;234;156;0;0;61;36;551;49;204;31;75;60;1430;993;187;172;2080;1524;838;599;92;59;
