Nazwa,baseball,hokej na lodzie (łącznie z hokejem na łyżworolkach),hokej na trawie,koszykówka,piłka nożna (łącznie z halową i plażową),piłka ręczna,piłka siatkowa (łącznie z plażową),piłka wodna,rugby,unihokej,football amerykański,akrobatyka (łącznie ze skokami na trampolinie),alpinizm,badminton,orientacja sportowa,brydż sportowy,gimnastyka artystyczna,gimnastyka sportowa,jeździectwo,kolarstwo górskie,kolarstwo szosowe,kolarstwo torowe,kręglarstwo,kulturystyka i trójbój siłowy (łącznie z fitness),lekkoatletyka,łucznictwo,pięciobój nowoczesny,podnoszenie ciężarów,sporty lotnicze (łącznie z modelarstwem lotniczym i kosmicznym),sport motorowy,strzelectwo sportowe,szachy,taniec sportowy,tenis stołowy,tenis,warcaby,boks,judo,karate,karate tradycyjne,kick-boxing,szermierka,taekwon-do ITF (bez innych odmian taekwon-do),taekwon-do WTF,zapasy w stylu klasycznym,zapasy w stylu wolnym,jujitsu,kendo,muaythai,sumo,wu-shu,kajakarstwo górskie,kajakarstwo klasyczne,narciarstwo wodne,pływanie,skoki do wody,wędkarstwo,wioślarstwo,żeglarstwo (łodzie regatowe),żeglarstwo deskowe (letnie),biathlon zimowy,łyżwiarstwo figurowe,łyżwiarstwo szybkie (łącznie z short track),narciarstwo alpejskie,narciarstwo klasyczne,snowboard,sport saneczkowy
DOLNOŚLĄSKIE,142,214,200,2828,36822,2339,3621,0,79,79,100,1125,213,381,229,383,90,34,459,358,387,15,0,289,2523,416,0,208,950,231,27702,2158,439,1731,2509,78,725,1552,2438,776,537,286,2308,252,209,430,388,53,10,164,0,39,56,20,4508,0,15,107,247,0,352,72,174,350,250,82,51
KUJAWSKO-POMORSKIE,85,183,673,3014,22238,1740,3740,0,113,460,246,444,297,220,36,121,15,60,548,181,564,254,78,117,2602,120,21,213,659,343,1347,724,1001,1354,1028,80,683,768,1686,998,785,306,20,427,17,224,247,0,0,20,17,1,465,8,3179,0,4,661,414,63,0,254,0,0,15,12,0
LUBELSKIE,0,126,0,1511,21800,1754,3908,0,343,53,72,146,88,368,50,0,10,59,61,0,104,0,13,193,1623,38,150,153,1675,79,1420,844,94,1622,637,3,399,307,1319,735,402,0,1127,453,288,425,609,0,20,44,30,0,71,5,1915,120,0,0,53,0,0,0,0,173,231,0,0
LUBUSKIE,31,0,0,1413,9569,902,1925,157,45,215,0,1048,58,252,42,95,60,0,221,85,78,5,0,568,1087,45,119,17,262,94,1154,634,602,583,293,0,290,456,627,126,602,78,18,0,249,10,408,0,42,84,0,0,250,0,552,0,0,52,85,0,0,0,140,0,0,0,93
ŁÓDZKIE,87,28,225,2512,26422,1514,4450,226,400,346,30,239,109,181,265,144,187,138,341,152,220,102,38,467,2659,150,89,250,577,213,2805,600,1333,1497,1133,156,636,1018,1658,1739,471,77,489,120,303,301,119,49,56,201,0,98,84,0,2521,0,24,0,30,0,0,369,441,42,27,0,0
MAŁOPOLSKIE,19,879,0,3187,52510,2878,7740,0,163,505,56,631,1673,939,206,62,394,878,1128,188,234,0,27,489,2320,227,12,52,776,310,1425,1519,844,2085,2581,0,692,1901,3026,1177,626,221,1252,276,66,40,569,25,118,44,497,332,225,0,3797,0,12,184,412,0,178,252,152,1231,1218,192,23
MAZOWIECKIE,30,143,45,6400,44705,4812,9169,159,481,1229,16,2861,85,769,480,309,2309,1012,768,140,384,83,15,490,5490,662,379,353,10,1352,14016,1181,2939,2783,4759,173,1035,8150,5012,1425,1493,564,1223,612,496,678,577,94,429,229,125,69,143,3,8389,110,52,325,649,33,108,532,376,353,255,67,54
OPOLSKIE,29,97,140,952,16502,1263,1178,0,0,63,41,42,166,312,111,42,86,242,334,72,174,10,16,308,1184,72,0,44,0,57,1542,146,380,511,523,23,10,865,1368,504,40,44,195,0,49,251,130,0,50,14,0,0,59,0,669,0,213,0,103,0,0,36,20,7,27,5,0
PODKARPACKIE,0,18,0,2177,37664,2054,5512,0,20,809,64,926,68,861,40,15,92,339,590,127,221,0,31,247,2167,234,0,61,551,204,75,1430,187,2080,838,92,192,687,2134,910,402,60,60,0,46,54,329,0,0,55,0,0,65,0,2687,42,16,0,116,0,41,22,163,566,373,4,0
PODLASKIE,18,65,0,1616,8887,1070,1927,0,65,217,100,0,0,390,30,117,111,19,413,53,99,21,0,173,1742,44,0,22,186,30,2626,310,112,685,280,70,506,996,1039,175,359,77,281,290,144,239,139,131,121,63,0,30,94,65,1064,0,31,0,357,0,0,0,238,3,88,0,0
POMORSKIE,0,387,0,2090,19500,2687,3237,0,407,1069,0,388,97,296,177,475,125,516,548,152,211,0,30,64,3526,38,68,315,179,237,1976,1277,245,1176,607,98,453,1569,1302,1268,406,110,334,38,342,84,260,38,0,46,5,0,341,0,1930,0,85,261,1350,208,0,207,27,0,11,0,31
ŚLĄSKIE,184,2330,551,3665,55057,3224,8238,0,295,203,194,1519,1655,834,167,323,890,296,875,351,429,331,70,598,3788,465,436,190,926,307,3921,1875,578,2489,2089,48,1602,4978,4232,498,1219,1001,1698,77,115,223,1860,50,157,0,132,13,528,40,7688,64,239,36,994,0,186,291,9,1444,719,175,40
ŚWIĘTOKRZYSKIE,0,30,0,257,8400,1145,1547,45,0,20,0,34,130,560,0,108,12,20,96,36,683,0,0,316,753,139,0,32,21,69,135,810,15,342,192,0,296,153,1083,370,46,0,50,21,135,85,0,0,0,120,15,0,60,7,840,0,14,0,27,0,0,0,0,73,13,0,0
WARMIŃSKO-MAZURSKIE,100,65,0,1062,10633,773,2101,0,182,276,70,0,42,85,61,86,0,64,233,63,229,54,53,97,1266,39,70,89,155,35,2853,450,231,682,372,74,214,480,1201,97,515,93,322,416,133,48,205,7,15,24,35,0,136,0,1587,0,0,151,342,0,0,126,214,0,0,0,1
WIELKOPOLSKIE,0,197,1046,4446,34759,3427,6204,0,348,1382,0,361,199,988,186,420,466,172,537,248,694,231,418,788,5240,105,0,174,1269,383,6548,2348,728,2612,2616,503,922,1987,3760,704,1013,888,619,1159,312,402,731,45,112,275,0,0,565,10,4897,176,420,407,952,107,0,15,0,24,15,30,0
ZACHODNIOPOMORSKIE,12,25,34,1654,18915,1849,3279,300,85,400,40,299,51,349,211,73,461,173,253,105,281,132,0,326,3194,40,124,62,141,218,2048,719,509,983,942,13,672,495,2233,546,624,121,411,108,65,693,440,8,28,313,0,0,204,0,2184,0,0,146,804,198,0,0,0,4,0,0,0
