voivodeship,junior_chance,senior_chance
DOLNOŚLĄSKIE,0.018405269605421062,0.018273855404851092
KUJAWSKO-POMORSKIE,0.02084498649815034,0.006510680992696295
LUBELSKIE,0.0169195500581623,0.005953787451417583
LUBUSKIE,0.017285550515874992,0.008454368738473807
ŁÓDZKIE,0.018111872148000294,0.007089153397510967
MAŁOPOLSKIE,0.022861929203565785,0.008141399235148547
MAZOWIECKIE,0.019970616035570724,0.00671794253946014
OPOLSKIE,0.019845925913748924,0.012334351863458057
PODKARPACKIE,0.022567827799305912,0.009961343897506969
PODLASKIE,0.01691159997058406,0.007055549949804778
POMORSKIE,0.0170029389637542,0.005547160884289225
ŚLĄSKIE,0.021421051207737244,0.007576850061361105
ŚWIĘTOKRZYSKIE,0.012270860339433325,0.003618783192361149
WARMIŃSKO-MAZURSKIE,0.01457916708905088,0.005983796041946828
WIELKOPOLSKIE,0.01985644768159569,0.008954262031672018
ZACHODNIOPOMORSKIE,0.021113517633440607,0.007778820846336184
