voivodeship,junior_chance,senior_chance
DOLNOŚLĄSKIE,0.6951596427355352,0.05895612466006428
KUJAWSKO-POMORSKIE,0.70635103926097,0.02057918384932603
LUBELSKIE,0.5753377772707271,0.018720038820495895
LUBUSKIE,0.5901170705145657,0.0268972538224166
ŁÓDZKIE,0.6625065943175823,0.023695859973499864
MAŁOPOLSKIE,0.7792110394480276,0.02497372134546711
MAZOWIECKIE,0.6880331557736559,0.021696499278690166
OPOLSKIE,0.7671167593328038,0.040232177028281496
PODKARPACKIE,0.7510106491749642,0.03018648469404564
PODLASKIE,0.596069803188764,0.022030160306729465
POMORSKIE,0.5637923480276454,0.017319992653576192
ŚLĄSKIE,0.8013348611192426,0.02521548003833402
ŚWIĘTOKRZYSKIE,0.4454743242034989,0.011675429419009654
WARMIŃSKO-MAZURSKIE,0.4847499175034177,0.018565072327023275
WIELKOPOLSKIE,0.6647266381575162,0.027966754423395353
ZACHODNIOPOMORSKIE,0.7465890218008283,0.025130463676645995
