,IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
0,ANNA,KOBIETA,1057416
1,MARIA,KOBIETA,612172
2,KATARZYNA,KOBIETA,608044
3,MAŁGORZATA,KOBIETA,583972
4,AGNIESZKA,KOBIETA,551161
5,BARBARA,KOBIETA,497422
6,EWA,KOBIETA,484686
7,KRYSTYNA,KOBIETA,435588
8,MAGDALENA,KOBIETA,434454
9,ELŻBIETA,KOBIETA,430898
10,JOANNA,KOBIETA,406839
11,ALEKSANDRA,KOBIETA,386091
12,ZOFIA,KOBIETA,382910
13,MONIKA,KOBIETA,379443
14,TERESA,KOBIETA,352407
15,DANUTA,KOBIETA,313019
16,NATALIA,KOBIETA,298975
17,JULIA,KOBIETA,290877
18,KAROLINA,KOBIETA,290055
19,MARTA,KOBIETA,287368
20,BEATA,KOBIETA,282256
21,DOROTA,KOBIETA,270924
22,HALINA,KOBIETA,255200
23,JADWIGA,KOBIETA,254457
24,JANINA,KOBIETA,250481
25,ALICJA,KOBIETA,246237
26,JOLANTA,KOBIETA,241836
27,GRAŻYNA,KOBIETA,235549
28,IWONA,KOBIETA,234817
29,IRENA,KOBIETA,231516
30,PAULINA,KOBIETA,223330
31,JUSTYNA,KOBIETA,217092
32,ZUZANNA,KOBIETA,207864
33,BOŻENA,KOBIETA,204476
34,WIKTORIA,KOBIETA,197831
35,URSZULA,KOBIETA,190423
36,RENATA,KOBIETA,190211
37,HANNA,KOBIETA,186410
38,SYLWIA,KOBIETA,183179
39,AGATA,KOBIETA,182386
40,HELENA,KOBIETA,178974
41,PATRYCJA,KOBIETA,168742
42,MAJA,KOBIETA,163774
43,IZABELA,KOBIETA,159210
44,EMILIA,KOBIETA,153879
45,ANETA,KOBIETA,152121
46,WERONIKA,KOBIETA,149848
47,EWELINA,KOBIETA,148245
48,OLIWIA,KOBIETA,146665
49,MARTYNA,KOBIETA,139892
50,KLAUDIA,KOBIETA,138020
51,MARIANNA,KOBIETA,134167
52,MARZENA,KOBIETA,130291
53,GABRIELA,KOBIETA,129366
54,STANISŁAWA,KOBIETA,128334
55,DOMINIKA,KOBIETA,121041
56,KINGA,KOBIETA,119227
57,LENA,KOBIETA,117445
