name,amount
PIOTR,697738
KRZYSZTOF,654442
ANDRZEJ,563554
TOMASZ,540578
PAWEŁ,511163
JAN,503920
MICHAŁ,489507
MARCIN,452520
JAKUB,410497
ADAM,400985
STANISŁAW,397356
MAREK,391407
ŁUKASZ,385119
GRZEGORZ,381780
MATEUSZ,374454
WOJCIECH,331968
MARIUSZ,291476
DARIUSZ,290423
ZBIGNIEW,279951
MACIEJ,267330
RAFAŁ,263455
ROBERT,261944
JERZY,260817
KAMIL,250017
JACEK,236921
JÓZEF,234613
DAWID,234455
SZYMON,228626
TADEUSZ,221484
RYSZARD,220908
KACPER,218052
BARTOSZ,200719
JAROSŁAW,194799
JANUSZ,192340
SŁAWOMIR,189939
ARTUR,189695
MIROSŁAW,188171
SEBASTIAN,185074
DAMIAN,183627
HENRYK,180075
PATRYK,178651
DANIEL,166416
PRZEMYSŁAW,166401
KAROL,164697
ROMAN,161846
KAZIMIERZ,161639
FILIP,156930
ANTONI,156746
WIESŁAW,148085
ADRIAN,147101
MARIAN,145750
ALEKSANDER,138631
ARKADIUSZ,134801
DOMINIK,130924
FRANCISZEK,126872
BARTŁOMIEJ,124371
MIKOŁAJ,122173
LESZEK,119313
WALDEMAR,112088
KRYSTIAN,111096
WIKTOR,108016
ZDZISŁAW,104421
RADOSŁAW,104043
BOGDAN,99458
KONRAD,90722
EDWARD,90571
MIECZYSŁAW,87283
HUBERT,86366
WŁADYSŁAW,83308
IGOR,82258
CZESŁAW,75966
OSKAR,70944
EUGENIUSZ,69845
MARCEL,67731
BOGUSŁAW,63109
STEFAN,62175
IRENEUSZ,61965
MAKSYMILIAN,61103
ZYGMUNT,59078
MIŁOSZ,58723
WITOLD,57056
SYLWESTER,55314
OLEKSANDR,51867
WŁODZIMIERZ,50543
OLIWIER,48916
ALAN,47669
NIKODEM,47309
ZENON,46888
LEON,44878
CEZARY,44798
NORBERT,39980
GABRIEL,37549
JULIAN,36724
SERHII,34787
IGNACY,33080
BŁAŻEJ,32534
ANDRII,32276
FABIAN,31589
TYMOTEUSZ,31096
VOLODYMYR,30875
TYMON,28976
ERYK,28298
EMIL,27960
BRONISŁAW,25867
LECH,25318
WACŁAW,25245
DMYTRO,22935
BOLESŁAW,21895
IVAN,21504
MYKOLA,19713
KSAWERY,19412
NATAN,19240
VITALII,19086
BERNARD,19022
REMIGIUSZ,18526
IHOR,18370
VASYL,18333
EDMUND,17729
OLAF,17303
YURII,17183
BORYS,17083
MAKSYM,16413
KAJETAN,16109
OLEH,15883
LUCJAN,15811
ROMUALD,15195
KUBA,14604
VIKTOR,14603
MYKHAILO,14384
ALBERT,14054
TOBIASZ,13846
GRACJAN,13837
SZCZEPAN,13687
SEWERYN,13654
ALFRED,12541
BRUNO,12186
BOHDAN,11898
LUDWIK,11588
JOACHIM,11454
VLADYSLAV,11036
LESŁAW,10987
ERNEST,10957
KORNEL,10919
BOGUMIŁ,10850
OLIVIER,10823
OLEKSII,10669
GERARD,10488
RUSLAN,10016
ALEXANDER,10015
JĘDRZEJ,9819
FELIKS,9765
ALEX,9290
ALOJZY,8461
DAVID,8437
LEONARD,8411
JULIUSZ,8332
PAVLO,8051
KLAUDIUSZ,7799
DENYS,7726
ANATOLII,7681
ARTEM,7673
VADYM,7615
ALEKS,7415
DORIAN,7250
YAROSLAV,6860
BENEDYKT,6837
PETRO,6783
TEODOR,6736
OLIVER,6719
MARTIN,6515
RAJMUND,6510
NATANIEL,6475
