,Nazwisko aktualne;Liczba
0,NOWAK;102944
1,KOWALSKA;69581
2,WIŚNIEWSKA;55553
3,WÓJCIK;50141
4,KOWALCZYK;49353
5,KAMIŃSKA;47883
6,LEWANDOWSKA;47390
7,ZIELIŃSKA;45810
8,SZYMAŃSKA;44747
9,DĄBROWSKA;44374
10,WOŹNIAK;44309
11,KOZŁOWSKA;38104
12,JANKOWSKA;34669
13,MAZUR;34128
14,KWIATKOWSKA;33659
15,WOJCIECHOWSKA;33403
16,KRAWCZYK;32190
17,KACZMAREK;31117
18,PIOTROWSKA;30898
19,GRABOWSKA;29378
20,PAWŁOWSKA;27968
21,MICHALSKA;27641
22,ZAJĄC;27409
23,KRÓL;27402
24,WIECZOREK;25637
25,JABŁOŃSKA;25539
26,WRÓBEL;25154
27,NOWAKOWSKA;25066
28,MAJEWSKA;24831
29,OLSZEWSKA;24182
30,ADAMCZYK;23865
31,JAWORSKA;23759
32,MALINOWSKA;23709
33,STĘPIEŃ;23636
34,DUDEK;23259
35,GÓRSKA;23030
36,NOWICKA;22972
37,PAWLAK;22486
38,WITKOWSKA;22446
39,SIKORA;22224
40,WALCZAK;22097
41,RUTKOWSKA;22091
42,MICHALAK;21380
43,SZEWCZYK;21244
44,OSTROWSKA;21086
45,BARAN;20632
46,TOMASZEWSKA;20273
47,PIETRZAK;19767
48,ZALEWSKA;19723
49,WRÓBLEWSKA;19664
50,MARCINIAK;19373
51,JASIŃSKA;19363
52,JAKUBOWSKA;19084
53,SADOWSKA;19045
54,ZAWADZKA;18838
55,DUDA;18346
56,BĄK;18123
57,WŁODARCZYK;18108
58,BORKOWSKA;17962
59,CHMIELEWSKA;17948
60,WILK;17551
61,SOKOŁOWSKA;17540
62,SZCZEPAŃSKA;17299
63,SAWICKA;17139
64,LIS;16700
65,KUCHARSKA;16614
66,MACIEJEWSKA;16408
67,KALINOWSKA;16296
68,MAZUREK;16230
69,WYSOCKA;16177
70,KUBIAK;16141
71,KOŁODZIEJ;15685
72,CZARNECKA;15392
73,KAŹMIERCZAK;15221
74,URBAŃSKA;14524
75,SOBCZAK;14236
76,GŁOWACKA;14234
77,KRAJEWSKA;14167
78,KRUPA;14165
79,ZAKRZEWSKA;14131
80,SIKORSKA;14130
81,ZIÓŁKOWSKA;13891
82,WASILEWSKA;13876
83,LASKOWSKA;13868
84,GAJEWSKA;13658
85,MRÓZ;13606
86,MAKOWSKA;13525
87,SZULC;13516
88,BRZEZIŃSKA;13414
89,PRZYBYLSKA;13326
90,BARANOWSKA;13310
91,KACZMARCZYK;13292
92,SZYMCZAK;13258
93,ADAMSKA;13187
94,BŁASZCZYK;13086
95,BOROWSKA;13008
96,GÓRECKA;12941
97,KANIA;12842
98,SZCZEPANIAK;12806
99,JANIK;12776
100,LESZCZYŃSKA;12761
101,CZERWIŃSKA;12760
102,CHOJNACKA;12697
103,LIPIŃSKA;12559
104,KOWALEWSKA;12491
105,WESOŁOWSKA;12486
106,KOZAK;12443
107,MIKOŁAJCZYK;12434
108,ANDRZEJEWSKA;12427
109,MUCHA;12243
110,JAROSZ;12149
111,CIEŚLAK;12136
112,KONIECZNA;12102
113,KOZIOŁ;12074
114,ZIĘBA;11995
115,MARKOWSKA;11926
116,KOWALIK;11906
117,KOŁODZIEJCZYK;11856
118,MUSIAŁ;11781
119,BRZOZOWSKA;11622
120,DOMAŃSKA;11533
121,PAWLIK;11394
122,TOMCZYK;11347
123,ORŁOWSKA;11346
124,PIĄTEK;11304
125,NOWACKA;11295
126,KOPEĆ;11279
127,TOMCZAK;11277
128,CIESIELSKA;11173
129,ŻAK;11171
130,KUREK;11105
131,WAWRZYNIAK;11027
132,MARKIEWICZ;11017
133,WÓJTOWICZ;11003
134,WOLSKA;10984
135,POLAK;10942
136,KRUK;10843
137,KOT;10825
138,STANKIEWICZ;10752
139,JASTRZĘBSKA;10550
140,SOWA;10435
141,URBANIAK;10413
142,KARPIŃSKA;10362
143,ŁUCZAK;10362
144,STASIAK;10332
145,CZAJKOWSKA;10331
146,WIERZBICKA;10300
147,NAWROCKA;10266
148,PIASECKA;10225
149,KLIMEK;10161
150,DZIEDZIC;10074
151,SOSNOWSKA;9992
152,BEDNAREK;9984
153,JANICKA;9941
154,STEFAŃSKA;9898
155,BIELECKA;9883
156,GAJDA;9882
157,MILEWSKA;9850
158,MADEJ;9719
159,MAJCHRZAK;9605
160,JÓŹWIAK;9559
161,LEŚNIAK;9556
162,MAJ;9490
163,ŚLIWIŃSKA;9389
164,URBAN;9377
165,KOWAL;9353
166,SKIBA;9345
167,MAŁECKA;9279
168,DOBROWOLSKA;9252
169,BEDNARCZYK;9234
170,MAREK;9228
171,SOCHA;9192
172,MICHALIK;9027
173,ROMANOWSKA;9018
174,WRONA;8965
175,DOMAGAŁA;8954
176,KASPRZAK;8894
177,WILCZYŃSKA;8876
178,RATAJCZAK;8859
179,MATUSZEWSKA;8843
180,OLEJNICZAK;8766
181,ŚWIĄTEK;8733
182,ORZECHOWSKA;8716
183,PAJĄK;8716
184,KUROWSKA;8628
185,BUKOWSKA;8580
186,SOBOLEWSKA;8579
187,OWCZAREK;8510
188,GRZELAK;8501
189,OLEJNIK;8452
190,MAZURKIEWICZ;8446
191,ŁUKASIK;8428
192,ROGOWSKA;8397
193,KĘDZIERSKA;8387
194,BARAŃSKA;8345
195,KOSIŃSKA;8256
196,MATUSIAK;8245
197,SOBCZYK;8164
198,SKOWROŃSKA;8149
199,RYBAK;8134
200,MARCINKOWSKA;8068
201,MARSZAŁEK;8044
202,ZYCH;8016
203,BEDNARSKA;8010
204,CHRZANOWSKA;7980
205,SROKA;7962
206,BEDNARZ;7950
207,LISOWSKA;7949
208,ŚWIDERSKA;7938
209,KUCZYŃSKA;7908
210,KOZIEŁ;7893
211,MORAWSKA;7886
212,KASPRZYK;7872
213,JANISZEWSKA;7856
214,MUSZYŃSKA;7742
