,Nazwisko aktualne,Liczba
0,NOWAK,100617
1,KOWALSKI,68061
2,WIŚNIEWSKI,54170
3,WÓJCIK,48786
4,KOWALCZYK,47992
5,KAMIŃSKI,46735
6,LEWANDOWSKI,45363
7,ZIELIŃSKI,44713
8,SZYMAŃSKI,43499
9,WOŹNIAK,43487
10,DĄBROWSKI,42454
11,KOZŁOWSKI,37068
12,MAZUR,34063
13,JANKOWSKI,33866
14,KWIATKOWSKI,32571
15,WOJCIECHOWSKI,32209
16,KRAWCZYK,31072
17,KACZMAREK,30454
18,PIOTROWSKI,29998
19,GRABOWSKI,28610
20,ZAJĄC,27535
21,PAWŁOWSKI,27219
22,KRÓL,27017
23,MICHALSKI,26602
24,WRÓBEL,25127
25,WIECZOREK,24731
26,JABŁOŃSKI,24588
27,NOWAKOWSKI,24161
28,MAJEWSKI,24083
29,OLSZEWSKI,23714
30,DUDEK,23155
31,STĘPIEŃ,23105
32,JAWORSKI,23046
33,ADAMCZYK,22972
34,MALINOWSKI,22911
35,GÓRSKI,22265
36,PAWLAK,22201
37,NOWICKI,22156
38,SIKORA,22078
39,WITKOWSKI,21678
40,RUTKOWSKI,21497
41,WALCZAK,21403
42,BARAN,21069
43,MICHALAK,20766
44,SZEWCZYK,20569
45,OSTROWSKI,20448
46,TOMASZEWSKI,19661
47,ZALEWSKI,19353
48,WRÓBLEWSKI,19122
49,PIETRZAK,18889
50,JASIŃSKI,18780
51,MARCINIAK,18525
52,SADOWSKI,18463
53,BĄK,18404
54,ZAWADZKI,18354
55,DUDA,18345
56,JAKUBOWSKI,18200
57,WILK,17637
58,CHMIELEWSKI,17504
59,BORKOWSKI,17222
60,WŁODARCZYK,17178
61,SOKOŁOWSKI,16850
62,SZCZEPAŃSKI,16788
63,SAWICKI,16696
64,LIS,16525
65,KUCHARSKI,16087
66,KALINOWSKI,15850
67,WYSOCKI,15813
68,MAZUREK,15788
69,KUBIAK,15710
70,MACIEJEWSKI,15682
71,KOŁODZIEJ,15253
72,KAŹMIERCZAK,14851
73,CZARNECKI,14705
74,SOBCZAK,14206
75,KONIECZNY,14180
76,KRUPA,14039
77,GŁOWACKI,13907
78,URBAŃSKI,13852
79,MRÓZ,13801
80,WASILEWSKI,13690
81,ZAKRZEWSKI,13686
82,KRAJEWSKI,13645
83,LASKOWSKI,13529
84,SIKORSKI,13499
85,ZIÓŁKOWSKI,13392
86,GAJEWSKI,13271
87,SZULC,13234
88,MAKOWSKI,13214
89,KACZMARCZYK,13054
90,BRZEZIŃSKI,13002
91,BARANOWSKI,12960
92,KOZAK,12829
93,PRZYBYLSKI,12808
94,SZYMCZAK,12749
95,KANIA,12743
96,JANIK,12700
97,BŁASZCZYK,12676
98,BOROWSKI,12674
99,ADAMSKI,12633
100,GÓRECKI,12558
101,SZCZEPANIAK,12476
102,CHOJNACKI,12362
103,KOZIOŁ,12234
104,LESZCZYŃSKI,12202
105,MUCHA,12194
106,LIPIŃSKI,12183
107,CZERWIŃSKI,12171
108,KOWALEWSKI,12167
109,ANDRZEJEWSKI,12120
110,WESOŁOWSKI,12048
111,MIKOŁAJCZYK,12009
112,ZIĘBA,11851
113,CIEŚLAK,11834
114,JAROSZ,11830
115,MUSIAŁ,11650
116,KOWALIK,11623
117,MARKOWSKI,11567
118,KOŁODZIEJCZYK,11467
119,KOPEĆ,11377
120,BRZOZOWSKI,11292
121,NOWACKI,11183
122,PIĄTEK,11167
123,ŻAK,11154
124,DOMAŃSKI,11121
125,ORŁOWSKI,11085
126,PAWLIK,11054
127,KUREK,11001
128,CIESIELSKI,10949
129,TOMCZYK,10925
130,TOMCZAK,10915
131,WÓJTOWICZ,10876
132,WAWRZYNIAK,10769
133,KOT,10743
134,POLAK,10595
135,KRUK,10588
136,WOLSKI,10554
137,MARKIEWICZ,10499
138,SOWA,10480
139,STASIAK,10238
140,JASTRZĘBSKI,10198
141,STANKIEWICZ,10147
142,KARPIŃSKI,10132
143,URBANIAK,10088
144,KLIMEK,9963
145,ŁUCZAK,9951
146,PIASECKI,9941
147,CZAJKOWSKI,9888
148,WIERZBICKI,9851
149,NAWROCKI,9835
150,GAJDA,9789
151,BEDNAREK,9590
152,BIELECKI,9586
153,DZIEDZIC,9581
154,STEFAŃSKI,9575
155,MADEJ,9536
156,JANICKI,9484
157,MILEWSKI,9460
158,SOSNOWSKI,9369
159,SKIBA,9356
160,KOWAL,9329
161,LEŚNIAK,9289
162,MAJCHRZAK,9281
163,MAJ,9277
164,JÓŹWIAK,9262
165,URBAN,9187
166,ŚLIWIŃSKI,9101
167,MAŁECKI,9073
168,SOCHA,9024
169,MAREK,9003
170,DOMAGAŁA,8979
171,BEDNARCZYK,8961
172,KASPRZAK,8818
173,WRONA,8809
174,DOBROWOLSKI,8775
175,PAJĄK,8710
176,MATUSZEWSKI,8708
177,MICHALIK,8707
178,RATAJCZAK,8636
179,OLEJNICZAK,8579
180,ORZECHOWSKI,8535
181,WILCZYŃSKI,8509
182,ROMANOWSKI,8493
183,ŚWIĄTEK,8483
184,KUROWSKI,8457
185,OLEJNIK,8295
186,GRZELAK,8279
187,ŁUKASIK,8262
188,ROGOWSKI,8259
189,OWCZAREK,8229
