name,amount
ANNA,1057416
MARIA,612172
KATARZYNA,608044
MAŁGORZATA,583972
AGNIESZKA,551161
BARBARA,497422
EWA,484686
KRYSTYNA,435588
MAGDALENA,434454
ELŻBIETA,430898
JOANNA,406839
ALEKSANDRA,386091
ZOFIA,382910
MONIKA,379443
TERESA,352407
DANUTA,313019
NATALIA,298975
JULIA,290877
KAROLINA,290055
MARTA,287368
BEATA,282256
DOROTA,270924
HALINA,255200
JADWIGA,254457
JANINA,250481
ALICJA,246237
JOLANTA,241836
GRAŻYNA,235549
IWONA,234817
IRENA,231516
PAULINA,223330
JUSTYNA,217092
ZUZANNA,207864
BOŻENA,204476
WIKTORIA,197831
URSZULA,190423
RENATA,190211
HANNA,186410
SYLWIA,183179
AGATA,182386
HELENA,178974
PATRYCJA,168742
MAJA,163774
IZABELA,159210
EMILIA,153879
ANETA,152121
WERONIKA,149848
EWELINA,148245
OLIWIA,146665
MARTYNA,139892
KLAUDIA,138020
MARIANNA,134167
MARZENA,130291
GABRIELA,129366
STANISŁAWA,128334
DOMINIKA,121041
KINGA,119227
LENA,117445
EDYTA,114749
AMELIA,113868
WIESŁAWA,111152
KAMILA,109076
WANDA,102141
ALINA,86134
LIDIA,83744
LUCYNA,83497
MARIOLA,83040
NIKOLA,74278
MIROSŁAWA,73098
WIOLETTA,72922
MILENA,71461
DARIA,71187
ANGELIKA,64867
KAZIMIERA,63563
GENOWEFA,59521
BOGUMIŁA,57475
ANTONINA,57420
LAURA,57036
OLGA,54521
SANDRA,53659
HENRYKA,51956
ILONA,51701
JÓZEFA,51696
STEFANIA,50627
MICHALINA,49527
SABINA,49087
BOGUSŁAWA,48763
MARLENA,48375
REGINA,47070
NADIA,46477
ŁUCJA,46277
ANITA,45266
KORNELIA,45151
WŁADYSŁAWA,44174
CZESŁAWA,44018
ANIELA,40419
IGA,38574
LILIANA,38228
JAGODA,38200
MARCELINA,37357
NINA,36791
POLA,34589
WIOLETA,34527
ADRIANNA,32280
ROKSANA,31698
KARINA,31668
DAGMARA,31494
CECYLIA,30144
MALWINA,29320
SARA,28353
LEOKADIA,28190
ZDZISŁAWA,27812
ŻANETA,27216
ELIZA,26106
BRONISŁAWA,25548
EUGENIA,24685
RÓŻA,23844
TETIANA,23393
BERNADETA,23379
NATALIIA,23202
KAJA,22166
OLENA,21802
JULITA,21668
DANIELA,21404
ALDONA,21286
IRYNA,21264
ANASTAZJA,20805
KLARA,20508
BLANKA,20060
OKSANA,19931
ROZALIA,19698
VIOLETTA,19288
MAGDA,18263
CELINA,18062
DIANA,17962
SVITLANA,16910
HONORATA,16734
LILIANNA,16474
OLHA,16467
ADRIANA,15476
PAULA,15185
MATYLDA,15142
BRYGIDA,14943
GERTRUDA,14888
MIECZYSŁAWA,14404
IZABELLA,14257
MARIIA,13752
BOŻENNA,13298
AURELIA,13279
YULIIA,13032
KALINA,12808
MARIKA,12804
ELWIRA,12670
MARZANNA,12495
SONIA,12427
ANDŻELIKA,11813
NELA,11762
VIKTORIIA,11691
ARLETA,11342
LIUDMYLA,11125
KATERYNA,10840
ANASTASIIA,10831
OLIVIA,10803
FRANCISZKA,10530
ADELA,10270
LUIZA,10059
JUDYTA,9608
HALYNA,9434
ALFREDA,9352
NICOLE,8886
NATASZA,8855
TATIANA,8843
NICOLA,8839
JOWITA,8559
VICTORIA,8548
MARYNA,8217
ROMANA,8039
APOLONIA,7988
VANESSA,7892
LUDWIKA,7804
JULIANNA,7625
TAMARA,7605
ELEONORA,7592
VALENTYNA,7445
MARZENNA,7408
WACŁAWA,7375
JESSICA,7363
INGA,7342
LIWIA,7143
ZENONA,7127
ESTERA,7002
MELANIA,6966
ADA,6889
NADIIA,6841
BERNADETTA,6660
MIA,6413
WALENTYNA,6403
HILDEGARDA,6389
INNA,6312
ZENOBIA,6251
DONATA,6215
LUDMIŁA,6183
FELICJA,6154
ANETTA,6064
BIANKA,5922
LARYSA,5921
ROMUALDA,5885
OTYLIA,5557
ELENA,5536
GIZELA,5531
AMANDA,5339
PELAGIA,5269
IRMINA,5153
LIUBOV,5039
RITA,5039
ERYKA,4896
OLEKSANDRA,4869
IDA,4857
LILIA,4851
SŁAWOMIRA,4806
MAYA,4804
BERNARDA,4716
LILLA,4697
YANA,4620
LONGINA,4579
ALLA,4562
WALERIA,4548
TEODOZJA,4498
RYSZARDA,4361
TEODORA,4352
EMMA,4167
ADELAJDA,4106
KAMILLA,3847
MIRELA,3840
ALBINA,3823
LILIIA,3775
FAUSTYNA,3464
ALONA,3388
SAMANTA,3368
OLIMPIA,3362
LILA,3347
FELIKSA,3306
ALEXANDRA,3248
LUCJA,3248
MARYLA,3194
MARCELA,3144
SOFIIA,3141
ZYTA,3134
SOFIA,3106
LEONARDA,3072
GAJA,3054
MARIANA,3011
ANGELINA,2977
IVANNA,2946
VERONIKA,2934
VIKTORIA,2934
OKTAWIA,2821
KSENIA,2803
VALERIIA,2796
KONSTANCJA,2768
PAMELA,2745
ZOJA,2729
KHRYSTYNA,2718
WANESSA,2663
BOLESŁAWA,2503
BOGNA,2498
JAGNA,2467
MIRELLA,2434
CLAUDIA,2430
LESIA,2412
NOEMI,2396
KRZYSZTOFA,2333
SALOMEA,2314
VIRA,2306
NADZIEJA,2296
EDWARDA,2290
ELFRYDA,2284
NEL,2271
INEZ,2265
MARIYA,2175
SOPHIE,2158
ALENA,2156
EMILY,2073
OLA,2044
EDELTRAUDA,2041
STELLA,2017
MICHELLE,2008
NATALIYA,1974
YEVHENIIA,1954
SARAH,1937
ANGELA,1932
TOLA,1913
MARINA,1868
YELYZAVETA,1838
YULIYA,1823
MIRIAM,1801
INES,1785
OLESIA,1783
RUSLANA,1773
IRINA,1769
LEA,1760
IZA,1739
ARLETTA,1718
