name,amount
NOWAK,102944
KOWALSKA,69581
WIŚNIEWSKA,55553
WÓJCIK,50141
KOWALCZYK,49353
KAMIŃSKA,47883
LEWANDOWSKA,47390
ZIELIŃSKA,45810
SZYMAŃSKA,44747
DĄBROWSKA,44374
WOŹNIAK,44309
KOZŁOWSKA,38104
JANKOWSKA,34669
MAZUR,34128
KWIATKOWSKA,33659
WOJCIECHOWSKA,33403
KRAWCZYK,32190
KACZMAREK,31117
PIOTROWSKA,30898
GRABOWSKA,29378
PAWŁOWSKA,27968
MICHALSKA,27641
ZAJĄC,27409
KRÓL,27402
WIECZOREK,25637
JABŁOŃSKA,25539
WRÓBEL,25154
NOWAKOWSKA,25066
MAJEWSKA,24831
OLSZEWSKA,24182
ADAMCZYK,23865
JAWORSKA,23759
MALINOWSKA,23709
STĘPIEŃ,23636
DUDEK,23259
GÓRSKA,23030
NOWICKA,22972
PAWLAK,22486
WITKOWSKA,22446
SIKORA,22224
WALCZAK,22097
RUTKOWSKA,22091
MICHALAK,21380
SZEWCZYK,21244
OSTROWSKA,21086
BARAN,20632
TOMASZEWSKA,20273
PIETRZAK,19767
ZALEWSKA,19723
WRÓBLEWSKA,19664
MARCINIAK,19373
JASIŃSKA,19363
JAKUBOWSKA,19084
SADOWSKA,19045
ZAWADZKA,18838
DUDA,18346
BĄK,18123
WŁODARCZYK,18108
BORKOWSKA,17962
CHMIELEWSKA,17948
WILK,17551
SOKOŁOWSKA,17540
SZCZEPAŃSKA,17299
SAWICKA,17139
LIS,16700
KUCHARSKA,16614
MACIEJEWSKA,16408
KALINOWSKA,16296
MAZUREK,16230
WYSOCKA,16177
KUBIAK,16141
KOŁODZIEJ,15685
CZARNECKA,15392
KAŹMIERCZAK,15221
URBAŃSKA,14524
SOBCZAK,14236
GŁOWACKA,14234
KRAJEWSKA,14167
KRUPA,14165
ZAKRZEWSKA,14131
SIKORSKA,14130
ZIÓŁKOWSKA,13891
WASILEWSKA,13876
LASKOWSKA,13868
GAJEWSKA,13658
MRÓZ,13606
MAKOWSKA,13525
SZULC,13516
BRZEZIŃSKA,13414
PRZYBYLSKA,13326
BARANOWSKA,13310
KACZMARCZYK,13292
SZYMCZAK,13258
ADAMSKA,13187
BŁASZCZYK,13086
BOROWSKA,13008
GÓRECKA,12941
KANIA,12842
SZCZEPANIAK,12806
JANIK,12776
LESZCZYŃSKA,12761
CZERWIŃSKA,12760
CHOJNACKA,12697
LIPIŃSKA,12559
KOWALEWSKA,12491
WESOŁOWSKA,12486
KOZAK,12443
MIKOŁAJCZYK,12434
ANDRZEJEWSKA,12427
MUCHA,12243
JAROSZ,12149
CIEŚLAK,12136
KONIECZNA,12102
KOZIOŁ,12074
ZIĘBA,11995
MARKOWSKA,11926
KOWALIK,11906
KOŁODZIEJCZYK,11856
MUSIAŁ,11781
BRZOZOWSKA,11622
DOMAŃSKA,11533
PAWLIK,11394
TOMCZYK,11347
ORŁOWSKA,11346
PIĄTEK,11304
NOWACKA,11295
KOPEĆ,11279
TOMCZAK,11277
CIESIELSKA,11173
ŻAK,11171
KUREK,11105
WAWRZYNIAK,11027
MARKIEWICZ,11017
WÓJTOWICZ,11003
WOLSKA,10984
