,Dolnośląskie,Kujawsko-pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-mazurskie,Wielkopolskie,Zachodniopomorskie
0,11940,8335,8360,4027,9731,16542,26635,3683,9007,4963,11571,17485,4311,5389,16640,6388
1,12786,8996,8909,4359,10357,17665,28314,4022,9653,5278,12276,19098,4742,6017,17747,6867
2,13270,9398,9373,4550,10776,18292,29271,4198,10238,5650,12801,20154,5055,6404,18507,7217
3,13906,9751,9828,4789,11280,18615,30039,4335,10692,5893,13331,21305,5256,6904,19340,7694
4,13904,9859,9860,4889,11264,18401,30196,4357,10432,5744,13325,21366,5271,6903,19258,7858
5,13383,9566,9554,4708,10858,17613,29136,4137,9950,5472,12652,20542,5207,6497,18344,7621
6,13328,9486,9463,4692,10825,17135,28222,4085,9816,5286,12367,20650,5248,6565,17985,7606
7,13146,9607,9417,4794,10893,16979,27784,4067,9957,5168,12146,20932,5178,6639,17839,7573
8,13155,9799,9839,4947,11209,17251,28120,4124,10143,5207,12213,21331,5251,6794,18111,7646
9,13701,10094,10311,5126,11623,17736,28832,4316,10421,5379,12640,21744,5535,7155,18714,7991
10,14188,10487,10454,5228,12001,18236,29772,4390,10763,5646,12953,22341,5775,7371,19488,8262
11,15011,11292,10910,5542,12536,18933,30920,4579,11259,6003,13605,23308,6106,7798,20101,8672
12,15371,11785,11314,5794,12672,19283,30909,4719,11589,6132,14009,23560,6317,8042,20303,9223
13,14778,11310,11032,5636,12206,18483,29517,4516,11256,5888,13555,22546,6136,7787,19694,9139
14,13801,10611,10496,5295,11613,17290,28038,4260,10652,5628,12661,21144,5722,7459,18351,8465
15,13031,10134,10192,4991,11052,16662,26725,4214,10364,5539,11911,20173,5512,7138,17511,7933
16,12402,9800,9926,4761,10721,16153,25550,4054,10306,5423,11353,19343,5465,6845,16799,7630
17,11810,9627,9793,4562,10479,15946,24630,3938,10224,5323,11043,18859,5456,6699,16267,7415
18,11599,9587,9787,4488,10401,16160,24091,4042,10315,5432,10977,18611,5553,6716,16314,7352
19,12080,9785,10101,4650,10622,16571,24104,4157,10666,5573,11243,19051,5636,6909,16471,7580
20,12592,10118,10523,4749,10854,17142,24574,4320,11163,5728,11514,19759,5844,7196,16775,7887
21,12672,10328,10763,4799,11103,17488,24804,4489,11518,5866,11569,19971,5952,7379,17166,8105
22,12907,10459,11109,4965,11411,17751,24869,4648,11722,6029,11835,20238,6147,7489,17516,8256
23,13529,10834,11576,5160,11907,18246,25521,4919,12071,6279,12198,21008,6522,7735,18042,8529
24,14224,11364,12089,5351,12442,18772,26684,5102,12492,6673,12539,22043,6849,8153,18651,8928
25,14855,11765,12282,5614,12998,19391,27866,5210,12799,6959,12922,22822,7072,8433,19224,9377
26,15916,12328,12736,5904,13762,20462,29313,5470,13341,7249,13614,23985,7270,8651,20158,9862
27,16720,12946,13272,6154,14388,21612,31072,5784,13936,7630,14389,25296,7612,9031,21340,10221
28,16964,13237,13764,6358,14881,22494,32792,5957,14816,7946,14941,26210,8010,9276,22358,10375
29,18212,13616,14185,6416,15366,24202,34895,6258,15517,8170,15976,27563,8174,9405,23598,10651
30,19788,14187,14288,6552,15647,25433,36997,6615,15554,8194,17095,28867,8066,9583,24856,10905
31,20437,14292,14264,6727,15737,25717,38081,6821,15589,8228,17384,29889,7973,9617,25203,11056
32,20958,14268,14311,6939,15936,26294,39448,7040,15612,8416,17646,31042,8051,9851,25692,11306
33,21772,14685,14498,7172,16265,26750,40884,7325,15574,8502,18059,32208,8059,10008,26197,11678
34,22889,15177,14928,7433,16882,27183,42553,7568,15774,8636,18395,33401,8233,10282,27058,12155
35,24290,15910,15556,7902,17767,28213,45350,7722,16412,8931,19373,35109,8830,10829,28512,12917
36,25486,16746,16043,8333,18636,29325,47327,8038,16953,9153,20370,36494,9350,11255,29645,13686
37,26269,17275,16546,8690,19546,30086,48938,8299,17366,9352,20707,37575,9659,11709,30551,14208
38,25987,17207,16636,8777,19794,29567,49063,8154,17355,9283,20344,37780,9685,11889,30307,14358
39,25186,16475,16107,8372,19066,28097,47235,7845,16795,8929,19449,36637,9347,11365,29034,14012
40,25017,16276,15811,8267,18961,27594,46822,7741,16572,8700,18959,36554,9270,11145,28721,13873
41,24641,16275,15786,8411,19253,27430,47403,7826,16461,8719,19003,36782,9426,11208,28875,13933
42,24037,15943,15634,8230,19094,26981,46674,7699,16163,8663,18594,35912,9279,10903,28145,13635
43,23484,15681,15407,7965,19063,26487,45728,7495,16021,8354,18266,35281,9081,10646,27664,13302
44,23167,15892,15301,7996,19149,26169,45570,7453,16050,8353,18473,35122,9068,10550,27631,13315
45,22828,15894,14919,7893,18792,25710,44739,7376,15776,8421,18155,34389,8933,10442,27055,13375
46,21842,15202,14623,7476,18122,25033,42644,7215,15295,8180,17332,33160,8653,10128,25992,12885
47,20702,14746,14647,7144,17481,24088,40462,6990,14892,8049,16629,31811,8396,9774,24993,12140
48,19641,14304,14215,6854,16965,23119,38321,6849,14372,7877,15992,30677,8213,9484,24197,11526
49,18687,13815,13777,6561,16473,22362,36109,6802,13873,7743,15286,29757,8022,9080,23227,10983
50,17746,13360,13246,6234,15940,21748,34311,6689,13623,7669,14524,29315,7743,8811,21974,10594
51,16872,12944,12907,5940,15464,21262,32562,6583,13258,7487,13791,28685,7532,8626,21117,10172
52,16198,12665,12740,5743,15122,20549,31357,6520,13037,7475,13262,27874,7369,8456,20722,9826
53,15693,12450,12585,5624,14797,20144,30700,6469,12971,7476,13230,27778,7310,8496,20174,9644
54,15794,12307,12732,5647,14760,20154,30174,6514,12905,7467,13177,28088,7289,8676,19746,9624
55,16256,12404,12885,5823,14761,20332,29931,6591,12978,7465,13143,28729,7290,8717,19859,9681
56,16707,12639,13004,5948,14906,20486,30121,6625,13156,7664,13496,29290,7483,8873,20248,9883
57,17209,12917,13159,6055,15233,20506,30899,6788,13354,7938,13781,29557,7685,9231,20904,10411
58,17712,13194,13300,6201,15523,20701,31261,6870,13374,7983,13832,30009,7878,9460,21089,10639
59,18605,13443,13481,6506,16127,21094,31789,6986,13541,8059,14043,30647,8197,9720,21258,10928
60,19947,14084,13993,6922,17128,21669,33347,7241,13984,8372,14600,32252,8638,10114,22179,11621
61,21352,14869,14698,7422,18336,22374,35605,7492,14475,8693,15421,34496,9172,10698,23533,12774
62,22685,15610,15340,7825,19363,22930,37808,7600,14719,8827,16229,36158,9512,10970,24651,13709
63,23453,16087,15927,8040,20071,23133,39357,7521,14609,8845,16764,36573,9573,11000,25461,14075
64,23689,16031,15907,8089,20241,22818,40064,7454,14467,8626,16899,35920,9618,11041,25425,14243
65,23984,15738,15680,8054,20227,22724,40549,7328,14329,8355,16918,35582,9717,10907,24966,14136
66,23709,15281,15418,7900,19919,22218,40107,7208,14045,7945,16771,35082,9495,10480,24434,13741
67,23033,14788,15088,7603,19534,21585,39198,7052,13693,7462,16201,34224,9205,9988,23884,13296
68,22912,14411,14797,7494,19351,21239,38274,6916,13409,7338,15741,33518,9094,9752,23471,13106
