,Dolnośląskie,Kujawsko-pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-mazurskie,Wielkopolskie,Zachodniopomorskie
0,12502,8833,8762,4144,10125,17417,27841,3884,9562,5257,12091,18491,4553,5763,17499,6780
1,13548,9545,9458,4458,10731,18528,29919,4126,10299,5585,13085,20025,5007,6372,18860,7243
2,14227,10075,9998,4676,11357,19339,31119,4331,10804,5856,13680,21244,5315,6773,19522,7705
3,14588,10542,10376,5096,11927,19947,31988,4557,11185,6079,14089,22507,5503,7149,20336,8150
4,14658,10498,10200,5222,11884,19641,31774,4550,11027,6052,14020,22638,5500,7102,20390,8241
5,14174,10018,9930,5020,11522,18772,30596,4450,10432,5766,13330,21801,5380,6836,19495,7917
6,13954,10053,9942,4994,11530,18294,29987,4430,10267,5697,12924,21630,5372,7055,19156,7847
7,13889,10196,9881,4992,11529,18077,29450,4344,10402,5560,12765,21787,5445,7127,18949,7978
8,13983,10393,10125,5141,11757,18251,29733,4433,10751,5614,12961,22325,5726,7224,19232,8156
9,14592,10787,10625,5379,12366,18718,30529,4535,11052,5829,13372,23175,6008,7597,19817,8287
10,15048,11176,11059,5518,12671,19416,31506,4545,11228,6010,13803,23666,6154,7813,20478,8657
11,15597,11791,11476,5817,13184,20146,32388,4830,11813,6335,14455,24248,6464,8292,21426,9283
12,15993,12191,11705,6018,13452,20152,32414,4938,12192,6465,14830,24494,6645,8626,21716,9560
13,15481,11844,11397,5894,12842,19254,31418,4762,11802,6258,14314,23533,6454,8305,20918,9326
14,14430,11162,10942,5569,12179,18009,29672,4571,11185,5993,13354,22150,6027,7809,19692,8797
15,13632,10654,10675,5232,11718,17335,28028,4438,10991,5783,12634,21073,5781,7460,18733,8402
16,13014,10250,10408,5048,11319,17123,26689,4326,10894,5592,12083,20324,5700,7221,17782,8181
17,12469,10155,10363,4790,11056,16786,25696,4210,10794,5519,11729,19791,5639,7063,17202,8006
18,12364,10199,10372,4697,10969,16756,25214,4215,10960,5660,11451,19569,5728,7224,17085,7852
19,12758,10436,10609,4843,11144,17265,25348,4393,11212,5821,11669,19785,6007,7483,17419,7982
